idx,note,channel,velocity,pretty_start,pretty_end,mido_start,mido_end,diff_start,diff_end
300,52,0,95,32.250000,32.375000,45.529389,45.705860,-13.279389,-13.330860
301,64,0,127,32.250000,32.500000,45.529389,45.882330,-13.279389,-13.382330
302,72,0,127,32.250000,32.500000,45.529389,45.882330,-13.279389,-13.382330
303,55,0,95,32.375000,32.500000,45.705860,45.882330,-13.330860,-13.382330
304,48,0,95,32.500000,32.625000,45.882330,46.058800,-13.382330,-13.433800
305,72,0,127,32.500000,32.750000,45.882330,46.235271,-13.382330,-13.485271
306,67,0,127,32.500000,33.000000,45.882330,46.588212,-13.382330,-13.588212
307,50,0,95,32.750000,32.875000,46.235271,46.411741,-13.485271,-13.536741
308,72,0,127,32.750000,32.875000,46.235271,46.411741,-13.485271,-13.536741
309,48,0,95,32.875000,33.000000,46.411741,46.588212,-13.536741,-13.588212
310,79,0,127,32.875000,33.000000,46.411741,46.588212,-13.536741,-13.588212
311,67,0,127,33.000000,33.250000,46.588212,46.941153,-13.588212,-13.691153
312,74,0,127,33.000000,33.250000,46.588212,46.941153,-13.588212,-13.691153
313,48,0,95,33.125000,33.250000,46.764682,46.941153,-13.639682,-13.691153
314,52,0,95,33.250000,33.375000,46.941153,47.117624,-13.691153,-13.742624
315,64,0,127,33.250000,33.500000,46.941153,47.294094,-13.691153,-13.794094
316,72,0,127,33.250000,33.500000,46.941153,47.294094,-13.691153,-13.794094
317,55,0,95,33.375000,33.500000,47.117624,47.294094,-13.742624,-13.794094
318,48,0,95,33.500000,33.625000,47.294094,47.470565,-13.794094,-13.845565
319,67,0,127,33.500000,34.000000,47.294094,47.999976,-13.794094,-13.999976
320,72,0,127,33.500000,34.000000,47.294094,47.999976,-13.794094,-13.999976
321,50,0,95,33.750000,33.875000,47.647035,47.823506,-13.897035,-13.948506
322,48,0,95,33.875000,34.000000,47.823506,47.999976,-13.948506,-13.999976
323,74,0,127,34.000000,34.250000,47.999976,48.352917,-13.999976,-14.102917
324,67,0,127,34.000000,34.500000,47.999976,48.705858,-13.999976,-14.205858
325,48,0,95,34.250000,34.375000,48.352917,48.529387,-14.102917,-14.154387
326,72,0,127,34.250000,34.375000,48.352917,48.529387,-14.102917,-14.154387
327,72,0,127,34.375000,34.500000,48.529387,48.705858,-14.154387,-14.205858
328,55,0,95,34.375000,34.750000,48.529387,49.058799,-14.154387,-14.308799
